kode_kabupaten;nama_kabupaten;kode_provinsi
1101;Aceh Selatan;11
1102;Aceh Tenggara;11
1103;Aceh Timur;11
1104;Aceh Tengah;11
1105;Aceh Barat;11
1106;Aceh Besar;11
1107;Pidie;11
1108;Aceh Utara;11
1109;Simeulue;11
1110;Aceh Singkil;11
1111;Bireuen;11
1112;Aceh Barat Daya;11
1113;Gayo Lues;11
1114;Aceh Jaya;11
1115;Nagan Raya;11
1116;Aceh Tamiang;11
1117;Bener Meriah;11
1118;Pidie Jaya;11
1171;Kota Banda Aceh;11
1172;Kota Sabang;11
1173;Kota Lhokseumawe;11
1174;Kota Langsa;11
1175;Kota Subulussalam;11
1201;Tapanuli Tengah;12
1202;Tapanuli Utara;12
1203;Tapanuli Selatan;12
1204;Nias;12
1205;Langkat;12
1206;Karo;12
1207;Deli Serdang;12
1208;Simalungun;12
1209;Asahan;12
1210;Labuhanbatu;12
1211;Dairi;12
1212;Toba;12
1213;Mandailing Natal;12
1214;Nias Selatan;12
1215;Pakpak Bharat;12
1216;Humbang Hasundutan;12
1217;Samosir;12
1218;Serdang Bedagai;12
1219;Batu Bara;12
1220;Padang Lawas Utara;12
1221;Padang Lawas;12
1222;Labuhanbatu Selatan;12
1223;Labuhanbatu Utara;12
1224;Nias Utara;12
1225;Nias Barat;12
1271;Kota Medan;12
1272;Kota Pematangsiantar;12
1273;Kota Sibolga;12
1274;Kota Tanjung Balai;12
1275;Kota Binjai;12
1276;Kota Tebing Tinggi;12
1277;Kota Padangsidimpuan;12
1278;Kota Gunungsitoli;12
1301;Pesisir Selatan;13
1302;Solok;13
1303;Sijunjung;13
1304;Tanah Datar;13
1305;Padang Pariaman;13
1306;Agam;13
1307;Lima Puluh Kota;13
1308;Pasaman;13
1309;Kepulauan Mentawai;13
1310;Dharmasraya;13
1311;Solok Selatan;13
1312;Pasaman Barat;13
1371;Kota Padang;13
1372;Kota Solok;13
1373;Kota Sawahlunto;13
1374;Kota Padang Panjang;13
1375;Kota Bukittinggi;13
1376;Kota Payakumbuh;13
1377;Kota Pariaman;13
1401;Kampar;14
1402;Indragiri Hulu;14
1403;Bengkalis;14
1404;Indragiri Hilir;14
1405;Pelalawan;14
1406;Rokan Hulu;14
1407;Rokan Hilir;14
1408;Siak;14
1409;Kuantan Singingi;14
1410;Kepulauan Meranti;14
1471;Kota Pekanbaru;14
1472;Kota Dumai;14
1501;Kerinci;15
1502;Merangin;15
1503;Sarolangun;15
1504;Batanghari;15
1505;Muaro Jambi;15
1506;Tanjung Jabung Barat;15
1507;Tanjung Jabung Timur;15
1508;Bungo;15
1509;Tebo;15
1571;Kota Jambi;15
1572;Kota Sungai Penuh;15
1601;Ogan Komering Ulu;16
1602;Ogan Komering Ilir;16
1603;Muara Enim;16
1604;Lahat;16
1605;Musi Rawas;16
1606;Musi Banyuasin;16
1607;Banyuasin;16
1608;Ogan Komering Ulu Timur;16
1609;Ogan Komering Ulu Selatan;16
1610;Ogan Ilir;16
1611;Empat Lawang;16
1612;Penukal Abab Lematang Ilir;16
1613;Musi Rawas Utara;16
1671;Kota Palembang;16
1672;Kota Pagar Alam;16
1673;Kota Lubuk Linggau;16
1674;Kota Prabumulih;16
1701;Bengkulu Selatan;17
1702;Rejang Lebong;17
1703;Bengkulu Utara;17
1704;Kaur;17
1705;Seluma;17
1706;Muko Muko;17
1707;Lebong;17
1708;Kepahiang;17
1709;Bengkulu Tengah;17
1771;Kota Bengkulu;17
1801;Lampung Selatan;18
1802;Lampung Tengah;18
1803;Lampung Utara;18
1804;Lampung Barat;18
1805;Tulang Bawang;18
1806;Tanggamus;18
1807;Lampung Timur;18
1808;Way Kanan;18
1809;Pesawaran;18
1810;Pringsewu;18
1811;Mesuji;18
1812;Tulang Bawang Barat;18
1813;Pesisir Barat;18
1871;Kota Bandar Lampung;18
1872;Kota Metro;18
1901;Bangka;19
1902;Belitung;19
1903;Bangka Selatan;19
1904;Bangka Tengah;19
1905;Bangka Barat;19
1906;Belitung Timur;19
